created_at,text,username,screen_name,verified,followers_count
Tue Oct 19 23:02:41 +0000 2021,"@YvetteCooperMP I agree, but someone has cultivated this climate where division, anger and polarisation have become legitimised for many. There has been nothing from HMG to bring people together, only a perpetuation of the hate culture from the top. They/we should be careful what is wished for.",MTF,mtf_new,False,89
Tue Oct 19 23:02:41 +0000 2021,"Good morning moots, have a nice day~",Take a rest,NTL_91,False,286
Tue Oct 19 23:02:41 +0000 2021,"About 18 months ago, I mentioned to Chris that some members of @BTS_twt had said they were into our band, and I'd heard a rumour they might like to collaborate.  4 months later he called me super-excited - 'I've got the song for BTS!' - and played the demo over the phone. Phil",Dandz⁷,Daniearmy,False,69
Tue Oct 19 23:02:41 +0000 2021,@kylie_gender i was just thinking that because why are people joining cults for god of all things?,ARCACA👽,lilic0spet,False,510
Tue Oct 19 23:02:41 +0000 2021,"It looks funny, right? You think it looks funny.I do too. But it lives its whole life. So you have to take it seriously eventually, right? And be respectful and shit.I think it can digging in the ground for tubers. https://t.co/hvDFk39bfw",Isaiah Jaquez,TxIsaiahJaquez,False,124
Tue Oct 19 23:02:41 +0000 2021,Plenitud!!!,Luis rojas,Luisroj81526243,False,56
Tue Oct 19 23:02:41 +0000 2021,@justryin2live Wishing you a fast recovery Kimby.  ,Donna Suresch,donnasuresch,False,203
Tue Oct 19 23:02:41 +0000 2021,The government is considering a rethink of the size and mix of the nation's migration program amid warnings our living standards will fail to keep up with much of the developed world in the wake of the pandemic. | @swrighteconomy @JennieDuke #Auspol https://t.co/qoWWoSx8TR,Pierre R,GeochemOz,False,1216
Tue Oct 19 23:02:41 +0000 2021,I don't tell nobody my problems cause I'm the only person that's gon solve them anyway,🥀🦇Tayy-tober🦇🥀,TaylorJBeautyy,False,4143
Tue Oct 19 23:02:41 +0000 2021,What a powerful story.#Veterans #VeteranSupport https://t.co/5ddjuUKZrW,New Horizons Learning Group,NHLearningGroup,False,7565
